PvEstimate,PvEstimate10,PvEstimate90,PeriodEnd,Period
0.7429,0.5409,0.8477,2021-07-16T10:30:00Z,PT30M
0.7228,0.4409,0.9796,2021-07-16T11:00:00Z,PT30M
0.777,0.4435,1,2021-07-16T11:30:00Z,PT30M
0.731,0.473,0.974,2021-07-16T12:00:00Z,PT30M
0.6095,0.2729,0.8827,2021-07-16T12:30:00Z,PT30M
0.47,0.2318,0.7704,2021-07-16T13:00:00Z,PT30M
0.3336,0.1142,0.6849,2021-07-16T13:30:00Z,PT30M
0.2932,0.032,0.6508,2021-07-16T14:00:00Z,PT30M
0.3066,0.0292,0.6304,2021-07-16T14:30:00Z,PT30M
0.304,0.0268,0.5941,2021-07-16T15:00:00Z,PT30M
0.277,0.026,0.5322,2021-07-16T15:30:00Z,PT30M
0.2361,0.0227,0.4596,2021-07-16T16:00:00Z,PT30M
0.1934,0.0195,0.3822,2021-07-16T16:30:00Z,PT30M
0.1566,0.018,0.3091,2021-07-16T17:00:00Z,PT30M
0.1241,0.0172,0.2415,2021-07-16T17:30:00Z,PT30M
0.0885,0.0189,0.1697,2021-07-16T18:00:00Z,PT30M
0.0472,0.0157,0.0976,2021-07-16T18:30:00Z,PT30M
0.0207,0.0074,0.0321,2021-07-16T19:00:00Z,PT30M
0.0008,0,0.0017,2021-07-16T19:30:00Z,PT30M
0,0,0,2021-07-16T20:00:00Z,PT30M
0,0,0,2021-07-16T20:30:00Z,PT30M
0,0,0,2021-07-16T21:00:00Z,PT30M
0,0,0,2021-07-16T21:30:00Z,PT30M
0,0,0,2021-07-16T22:00:00Z,PT30M
0,0,0,2021-07-16T22:30:00Z,PT30M
0,0,0,2021-07-16T23:00:00Z,PT30M
0,0,0,2021-07-16T23:30:00Z,PT30M
0,0,0,2021-07-17,PT30M
0,0,0,2021-07-17T00:30:00Z,PT30M
0,0,0,2021-07-17T01:00:00Z,PT30M
0,0,0,2021-07-17T01:30:00Z,PT30M
0,0,0,2021-07-17T02:00:00Z,PT30M
0,0,0,2021-07-17T02:30:00Z,PT30M
0,0,0,2021-07-17T03:00:00Z,PT30M
0,0,0,2021-07-17T03:30:00Z,PT30M
0,0,0,2021-07-17T04:00:00Z,PT30M
0.0059,0.0008,0.016,2021-07-17T04:30:00Z,PT30M
0.0184,0.0033,0.0591,2021-07-17T05:00:00Z,PT30M
0.0461,0.0067,0.1511,2021-07-17T05:30:00Z,PT30M
0.1205,0.0099,0.2687,2021-07-17T06:00:00Z,PT30M
0.2203,0.0207,0.3865,2021-07-17T06:30:00Z,PT30M
0.3194,0.0554,0.4838,2021-07-17T07:00:00Z,PT30M
0.3958,0.0842,0.5789,2021-07-17T07:30:00Z,PT30M
0.432,0.0794,0.6628,2021-07-17T08:00:00Z,PT30M
0.4371,0.0589,0.7196,2021-07-17T08:30:00Z,PT30M
0.422,0.0322,0.7573,2021-07-17T09:00:00Z,PT30M
0.404,0.0298,0.7749,2021-07-17T09:30:00Z,PT30M
0.3853,0.0319,0.7857,2021-07-17T10:00:00Z,PT30M
0.384,0.0335,0.7986,2021-07-17T10:30:00Z,PT30M
0.3996,0.0359,0.8168,2021-07-17T11:00:00Z,PT30M
0.4381,0.057,0.8437,2021-07-17T11:30:00Z,PT30M
0.4827,0.0764,0.8664,2021-07-17T12:00:00Z,PT30M
0.5248,0.0905,0.8783,2021-07-17T12:30:00Z,PT30M
0.5455,0.0984,0.8731,2021-07-17T13:00:00Z,PT30M
0.5417,0.1144,0.8555,2021-07-17T13:30:00Z,PT30M
0.5134,0.1116,0.8124,2021-07-17T14:00:00Z,PT30M
