PvEstimate,PvEstimate10,PvEstimate90,PeriodEnd,Period
0.4595,0.1738,0.6735,2021-07-15T12:00:00Z,PT30M
0.4841,0.2055,0.7979,2021-07-15T12:30:00Z,PT30M
0.4759,0.2017,0.8356,2021-07-15T13:00:00Z,PT30M
0.3942,0.0939,0.6823,2021-07-15T13:30:00Z,PT30M
0.4042,0.155,0.6743,2021-07-15T14:00:00Z,PT30M
0.304,0.0829,0.5638,2021-07-15T14:30:00Z,PT30M
0.2682,0.0555,0.5385,2021-07-15T15:00:00Z,PT30M
0.1589,0.0207,0.4055,2021-07-15T15:30:00Z,PT30M
0.134,0.0181,0.3499,2021-07-15T16:00:00Z,PT30M
0.1082,0.0153,0.2888,2021-07-15T16:30:00Z,PT30M
0.0808,0.0125,0.2266,2021-07-15T17:00:00Z,PT30M
0.0546,0.0098,0.1633,2021-07-15T17:30:00Z,PT30M
0.031,0.0069,0.1035,2021-07-15T18:00:00Z,PT30M
0.0181,0.0042,0.0493,2021-07-15T18:30:00Z,PT30M
0.0077,0.0014,0.0174,2021-07-15T19:00:00Z,PT30M
0.0007,0,0.0014,2021-07-15T19:30:00Z,PT30M
0,0,0,2021-07-15T20:00:00Z,PT30M
0,0,0,2021-07-15T20:30:00Z,PT30M
0,0,0,2021-07-15T21:00:00Z,PT30M
0,0,0,2021-07-15T21:30:00Z,PT30M
0,0,0,2021-07-15T22:00:00Z,PT30M
0,0,0,2021-07-15T22:30:00Z,PT30M
0,0,0,2021-07-15T23:00:00Z,PT30M
0,0,0,2021-07-15T23:30:00Z,PT30M
0,0,0,2021-07-16,PT30M
0,0,0,2021-07-16T00:30:00Z,PT30M
0,0,0,2021-07-16T01:00:00Z,PT30M
0,0,0,2021-07-16T01:30:00Z,PT30M
0,0,0,2021-07-16T02:00:00Z,PT30M
0,0,0,2021-07-16T02:30:00Z,PT30M
0,0,0,2021-07-16T03:00:00Z,PT30M
0,0,0,2021-07-16T03:30:00Z,PT30M
0,0,0,2021-07-16T04:00:00Z,PT30M
0.0042,0.0014,0.0104,2021-07-16T04:30:00Z,PT30M
0.0125,0.0035,0.0313,2021-07-16T05:00:00Z,PT30M
0.0237,0.0056,0.0782,2021-07-16T05:30:00Z,PT30M
0.0401,0.0084,0.134,2021-07-16T06:00:00Z,PT30M
0.069,0.0111,0.1966,2021-07-16T06:30:00Z,PT30M
0.0991,0.0139,0.2593,2021-07-16T07:00:00Z,PT30M
0.1289,0.0167,0.3234,2021-07-16T07:30:00Z,PT30M
0.1614,0.0193,0.3869,2021-07-16T08:00:00Z,PT30M
0.1982,0.0221,0.4528,2021-07-16T08:30:00Z,PT30M
0.2459,0.0241,0.5235,2021-07-16T09:00:00Z,PT30M
0.304,0.0262,0.5991,2021-07-16T09:30:00Z,PT30M
0.3623,0.0276,0.666,2021-07-16T10:00:00Z,PT30M
0.3953,0.0367,0.7071,2021-07-16T10:30:00Z,PT30M
0.3893,0.03,0.7131,2021-07-16T11:00:00Z,PT30M
0.3341,0.03,0.6733,2021-07-16T11:30:00Z,PT30M
0.2533,0.0307,0.6021,2021-07-16T12:00:00Z,PT30M
0.1871,0.03,0.5367,2021-07-16T12:30:00Z,PT30M
0.1795,0.0293,0.5151,2021-07-16T13:00:00Z,PT30M
0.2435,0.027,0.5549,2021-07-16T13:30:00Z,PT30M
0.3398,0.0337,0.6156,2021-07-16T14:00:00Z,PT30M
0.4173,0.145,0.6448,2021-07-16T14:30:00Z,PT30M
0.4422,0.2014,0.6324,2021-07-16T15:00:00Z,PT30M
0.4023,0.1889,0.5725,2021-07-16T15:30:00Z,PT30M
0.3245,0.1374,0.4843,2021-07-16T16:00:00Z,PT30M
0.2409,0.0799,0.3861,2021-07-16T16:30:00Z,PT30M
0.1685,0.035,0.2954,2021-07-16T17:00:00Z,PT30M
0.1152,0.0216,0.2162,2021-07-16T17:30:00Z,PT30M
0.0714,0.0148,0.1454,2021-07-16T18:00:00Z,PT30M
0.0327,0.0089,0.0788,2021-07-16T18:30:00Z,PT30M
0.0145,0.0034,0.0248,2021-07-16T19:00:00Z,PT30M
0.0007,0,0.0014,2021-07-16T19:30:00Z,PT30M
0,0,0,2021-07-16T20:00:00Z,PT30M
0,0,0,2021-07-16T20:30:00Z,PT30M
0,0,0,2021-07-16T21:00:00Z,PT30M
0,0,0,2021-07-16T21:30:00Z,PT30M
0,0,0,2021-07-16T22:00:00Z,PT30M
0,0,0,2021-07-16T22:30:00Z,PT30M
0,0,0,2021-07-16T23:00:00Z,PT30M
0,0,0,2021-07-16T23:30:00Z,PT30M
0,0,0,2021-07-17,PT30M
0,0,0,2021-07-17T00:30:00Z,PT30M
0,0,0,2021-07-17T01:00:00Z,PT30M
0,0,0,2021-07-17T01:30:00Z,PT30M
0,0,0,2021-07-17T02:00:00Z,PT30M
0,0,0,2021-07-17T02:30:00Z,PT30M
0,0,0,2021-07-17T03:00:00Z,PT30M
0,0,0,2021-07-17T03:30:00Z,PT30M
0,0,0,2021-07-17T04:00:00Z,PT30M
0.007,0.0007,0.0153,2021-07-17T04:30:00Z,PT30M
0.0195,0.0028,0.057,2021-07-17T05:00:00Z,PT30M
0.0338,0.0055,0.1236,2021-07-17T05:30:00Z,PT30M
0.0607,0.0083,0.1942,2021-07-17T06:00:00Z,PT30M
0.0907,0.011,0.266,2021-07-17T06:30:00Z,PT30M
0.1325,0.0136,0.3456,2021-07-17T07:00:00Z,PT30M
0.1974,0.0162,0.4371,2021-07-17T07:30:00Z,PT30M
0.2778,0.0187,0.5351,2021-07-17T08:00:00Z,PT30M
0.359,0.0311,0.6233,2021-07-17T08:30:00Z,PT30M
0.4244,0.0615,0.6982,2021-07-17T09:00:00Z,PT30M
0.4512,0.0725,0.7403,2021-07-17T09:30:00Z,PT30M
0.4514,0.07,0.7693,2021-07-17T10:00:00Z,PT30M
0.4423,0.0597,0.782,2021-07-17T10:30:00Z,PT30M
0.4392,0.0542,0.7914,2021-07-17T11:00:00Z,PT30M
0.4687,0.0631,0.8155,2021-07-17T11:30:00Z,PT30M
0.5145,0.0822,0.8456,2021-07-17T12:00:00Z,PT30M
0.5625,0.1276,0.8631,2021-07-17T12:30:00Z,PT30M
0.591,0.179,0.868,2021-07-17T13:00:00Z,PT30M
0.598,0.2097,0.8374,2021-07-17T13:30:00Z,PT30M
0.581,0.2158,0.7953,2021-07-17T14:00:00Z,PT30M
0.5448,0.206,0.7453,2021-07-17T14:30:00Z,PT30M
0.4898,0.1793,0.6804,2021-07-17T15:00:00Z,PT30M
0.4268,0.1456,0.6118,2021-07-17T15:30:00Z,PT30M
0.355,0.1082,0.5309,2021-07-17T16:00:00Z,PT30M
0.2874,0.0771,0.4439,2021-07-17T16:30:00Z,PT30M
0.2212,0.0516,0.3511,2021-07-17T17:00:00Z,PT30M
0.1631,0.0327,0.2631,2021-07-17T17:30:00Z,PT30M
0.1047,0.0238,0.1736,2021-07-17T18:00:00Z,PT30M
0.0476,0.0147,0.0855,2021-07-17T18:30:00Z,PT30M
0.016,0.006,0.024,2021-07-17T19:00:00Z,PT30M
0.0007,0,0.0007,2021-07-17T19:30:00Z,PT30M
0,0,0,2021-07-17T20:00:00Z,PT30M
0,0,0,2021-07-17T20:30:00Z,PT30M
0,0,0,2021-07-17T21:00:00Z,PT30M
0,0,0,2021-07-17T21:30:00Z,PT30M
0,0,0,2021-07-17T22:00:00Z,PT30M
0,0,0,2021-07-17T22:30:00Z,PT30M
0,0,0,2021-07-17T23:00:00Z,PT30M
0,0,0,2021-07-17T23:30:00Z,PT30M
0,0,0,2021-07-18,PT30M
0,0,0,2021-07-18T00:30:00Z,PT30M
0,0,0,2021-07-18T01:00:00Z,PT30M
0,0,0,2021-07-18T01:30:00Z,PT30M
0,0,0,2021-07-18T02:00:00Z,PT30M
0,0,0,2021-07-18T02:30:00Z,PT30M
0,0,0,2021-07-18T03:00:00Z,PT30M
0,0,0,2021-07-18T03:30:00Z,PT30M
0,0,0,2021-07-18T04:00:00Z,PT30M
0.0041,0.0007,0.0101,2021-07-18T04:30:00Z,PT30M
0.0123,0.002,0.0307,2021-07-18T05:00:00Z,PT30M
0.0245,0.0048,0.0822,2021-07-18T05:30:00Z,PT30M
0.0472,0.0068,0.1513,2021-07-18T06:00:00Z,PT30M
0.0869,0.0094,0.2276,2021-07-18T06:30:00Z,PT30M
0.1267,0.0121,0.3107,2021-07-18T07:00:00Z,PT30M
0.1601,0.0154,0.3839,2021-07-18T07:30:00Z,PT30M
0.1889,0.018,0.4542,2021-07-18T08:00:00Z,PT30M
0.2163,0.0207,0.5202,2021-07-18T08:30:00Z,PT30M
0.2509,0.0227,0.5918,2021-07-18T09:00:00Z,PT30M
0.3033,0.0247,0.668,2021-07-18T09:30:00Z,PT30M
0.3639,0.0264,0.7392,2021-07-18T10:00:00Z,PT30M
0.4283,0.0278,0.8121,2021-07-18T10:30:00Z,PT30M
